GPSDateTime,LineId,LineName,NextLevel,PrevLevel,Strlatlon,ToDir,VehicleId,VehicleNo,unknow
2019-01-16 23:59:59,7100,71,2,1,"121.335413,31.173188",1,沪D-R7103,Z5A-0021,1
2019-01-17 00:00:00,7100,71,2,1,"121.334616,31.172271",1,沪D-R1273,Z5A-0002,1
2019-01-17 00:00:00,7100,71,24,23,"121.339955,31.173025",0,沪D-R5257,Z5A-0020,1
2019-01-17 00:00:01,7100,71,14,13,"121.409491,31.20433",0,沪D-R5192,Z5A-0013,1
2019-01-17 00:00:03,7100,71,15,14,"121.398615,31.200253",0,沪D-T0951,Z5A-0022,1
2019-01-17 00:00:04,7100,71,2,1,"121.334853,31.171997",1,沪D-R6089,Z5A-0001,1
2019-01-17 00:00:04,7100,71,2,1,"121.334616,31.172271",1,沪D-R6079,Z5A-0018,1
2019-01-17 00:00:04,7100,71,2,1,"121.334616,31.172271",1,沪D-R6051,Z5A-0007,1
2019-01-17 00:00:04,7100,71,14,13,"121.409249,31.204321",0,沪D-T0971,Z5A-0037,1
2019-01-16 23:59:59,7100,71,2,1,"121.335413,31.173188",1,沪D-R7103,Z5A-0021,1
2019-01-17 00:00:15,7100,71,2,1,"121.334616,31.172271",1,沪D-R1273,Z5A-0002,1
2019-01-17 00:00:15,7100,71,24,23,"121.339726,31.172859",0,沪D-R5257,Z5A-0020,1
2019-01-17 00:00:16,7100,71,14,13,"121.409491,31.20433",0,沪D-R5192,Z5A-0013,1
2019-01-17 00:00:18,7100,71,15,14,"121.398704,31.200293",0,沪D-T0951,Z5A-0022,1
2019-01-17 00:00:19,7100,71,2,1,"121.334853,31.171997",1,沪D-R6089,Z5A-0001,1
2019-01-17 00:00:19,7100,71,2,1,"121.334616,31.172271",1,沪D-R6079,Z5A-0018,1
2019-01-17 00:00:19,7100,71,2,1,"121.334616,31.172271",1,沪D-R6051,Z5A-0007,1
2019-01-17 00:00:19,7100,71,14,13,"121.409249,31.204321",0,沪D-T0971,Z5A-0037,1
2019-01-16 23:59:59,7100,71,2,1,"121.335413,31.173188",1,沪D-R7103,Z5A-0021,1
2019-01-17 00:00:30,7100,71,2,1,"121.334616,31.172271",1,沪D-R1273,Z5A-0002,1
2019-01-17 00:00:31,7100,71,14,13,"121.409491,31.20433",0,沪D-R5192,Z5A-0013,1
2019-01-17 00:00:33,7100,71,2,1,"121.334616,31.172271",1,沪D-R6079,Z5A-0018,1
2019-01-17 00:00:33,7100,71,15,14,"121.396299,31.1992",0,沪D-T0951,Z5A-0022,1
2019-01-17 00:00:34,7100,71,2,1,"121.334853,31.171997",1,沪D-R6089,Z5A-0001,1
2019-01-17 00:00:34,7100,71,2,1,"121.334616,31.172271",1,沪D-R6051,Z5A-0007,1
2019-01-17 00:00:34,7100,71,14,13,"121.409249,31.204321",0,沪D-T0971,Z5A-0037,1
2019-01-17 00:00:35,7100,71,24,23,"121.337887,31.171533",0,沪D-R5257,Z5A-0020,1
